Ref,Val,Package,PosX,PosY,Rot,Side
"C101","10u","C_1210_3225Metric",16.200000,15.525000,-90.000000,top
"C102","22u","C_1210_3225Metric",21.000000,13.500000,180.000000,top
"C103","10u","C_0603_1608Metric",30.400000,15.900000,-90.000000,top
"C104","22u","C_0603_1608Metric",35.100000,15.900000,-90.000000,top
"C105","2u2","C_0402_1005Metric",15.500000,21.400000,0.000000,top
"C106","100n","C_0402_1005Metric",15.500000,22.600000,0.000000,top
"C107","1u","C_0402_1005Metric",16.800000,31.000000,90.000000,top
"C108","1u","C_0402_1005Metric",15.500000,31.000000,90.000000,top
"C109","1u","C_0402_1005Metric",19.000000,28.800000,-90.000000,top
"C110","1u","C_0402_1005Metric",19.000000,23.700000,-90.000000,top
"C111","100n","C_0402_1005Metric",26.900000,30.400000,90.000000,top
"C112","22u","C_0603_1608Metric",31.200000,28.400000,0.000000,top
"C113","100n","C_0402_1005Metric",26.900000,25.300000,90.000000,top
"C114","22u","C_0603_1608Metric",29.900000,25.100000,0.000000,top
"D101","GREEN","LED_0805_2012Metric",28.800000,12.400000,180.000000,top
"F201","500mA","Fuse_1812_4532Metric",11.400000,19.162500,-90.000000,top
"J201","USB4105-GF-A","GCT_USB4105-GF-A",2.600000,21.300000,-90.000000,top
"L101","2u2","CDRH2D18_HPNP-2R2NC",24.800000,16.700000,-45.000000,top
"L102","1u","LQH3NPN1R0MJRL",33.100000,20.300000,0.000000,top
"P201","282837-2","TE_282837-2",17.800000,5.000000,0.000000,top
"P202","282837-2","TE_282837-2",30.800000,5.000000,0.000000,top
"P203","282837-2","TE_282837-2",43.600000,14.800000,90.000000,top
"P204","282837-2","TE_282837-2",17.800000,37.600000,180.000000,top
"P205","282837-2","TE_282837-2",30.800000,37.600000,180.000000,top
"P206","282837-2","TE_282837-2",43.600000,27.800000,90.000000,top
"PS101","TPS62162DSGT","TPS62162DSGT",20.185000,16.750000,0.000000,top
"R101","100K","R_0402_1005Metric",20.585000,18.800000,180.000000,top
"R102","680R","R_0402_1005Metric",25.700000,12.400000,0.000000,top
"R103","178K","R_0402_1005Metric",36.700000,16.200000,90.000000,top
"R104","64K9","R_0402_1005Metric",35.300000,13.400000,180.000000,top
"R105","39K2","R_0402_1005Metric",33.000000,13.400000,180.000000,top
"R106","1K","R_0402_1005Metric",14.200000,31.000000,90.000000,top
"R107","0R1","R_0603_1608Metric",27.900000,28.400000,0.000000,top
"R108","0R1","R_0603_1608Metric",27.900000,23.300000,0.000000,top
"R201","5K1","R_0603_1608Metric",6.700000,27.900000,180.000000,top
"R202","5K1","R_0603_1608Metric",6.700000,14.700000,0.000000,top
"U101","TPS62080ADSGT","TPS62080ADSGT",32.750000,15.900000,90.000000,top
"U102","REF5030AIDGKT","REF5030AIDGKT",15.200000,26.600000,90.000000,top
"U103","OPA350EA_250","OPA350EA_250",23.000000,29.500000,0.000000,top
"U104","OPA350EA_250","OPA350EA_250",23.000000,24.400000,0.000000,top
